Fechas,Directa_Avg
2017-07-04 01:41:00,1433.562
2017-07-04 01:42:00,1310.34
2017-07-04 01:43:00,1335.365
2017-07-04 01:44:00,1258.086
2017-07-04 01:45:00,1242.274
2017-07-04 01:46:00,1259.502
2017-07-04 01:47:00,1420.439
2017-07-04 01:48:00,1315.227
2017-07-04 01:49:00,1574.783
2017-07-04 01:50:00,1356.63
2017-07-04 01:51:00,1165.205
2017-07-04 01:52:00,1265.029
2017-07-04 01:53:00,1178.391
2017-07-04 01:54:00,1327.852
2017-07-04 01:55:00,1242.027
2017-07-04 01:56:00,1547.475
2017-07-04 01:57:00,1380.673
2017-07-04 01:58:00,1358.687
2017-07-04 01:59:00,1248.993
2017-07-04 02:00:00,1218.147
2017-07-04 02:01:00,947.5832
2017-07-04 02:02:00,1086.26
2017-07-04 02:03:00,1114.545
2017-07-04 02:04:00,1214.155
2017-07-04 02:05:00,1383.955
2017-07-04 02:06:00,1143.461
2017-07-04 02:07:00,1058.664
2017-07-04 02:08:00,1216.013
2017-07-04 02:09:00,1013.956
2017-07-04 02:10:00,1019.434
2017-07-04 02:11:00,1276.462
2017-07-04 02:12:00,1351.355
2017-07-04 02:13:00,1125.956
2017-07-04 02:14:00,1066.168
2017-07-04 02:15:00,943.4321
2017-07-04 02:16:00,1023.357
2017-07-04 02:17:00,938.1316
2017-07-04 02:18:00,994.5532
2017-07-04 02:19:00,922.8717
2017-07-04 02:20:00,1080.295
2017-07-04 02:21:00,1227.21
2017-07-04 02:22:00,1090.875
2017-07-04 02:23:00,886.5944
2017-07-04 02:24:00,1054.266
2017-07-04 02:25:00,998.5385
2017-07-04 02:26:00,837.1013
2017-07-04 02:27:00,1182.058
2017-07-04 02:28:00,1008.42
2017-07-04 02:29:00,888.438
2017-07-04 02:30:00,986.5586
2017-07-04 02:31:00,1165.794
2017-07-04 02:32:00,1219.527
2017-07-04 02:33:00,1053.553
2017-07-04 02:34:00,938.9116
2017-07-04 02:35:00,1086.592
2017-07-04 02:36:00,1134.373
2017-07-04 02:37:00,728.7475
2017-07-04 02:38:00,969.2589
2017-07-04 02:39:00,1025.614
2017-07-04 02:40:00,1129.197
2017-07-04 02:41:00,1192.57
2017-07-04 02:42:00,1421.863
2017-07-04 02:43:00,1274.057
2017-07-04 02:44:00,1065.818
2017-07-04 02:45:00,1297.834
2017-07-04 02:46:00,1189.422
2017-07-04 02:47:00,883.8779
2017-07-04 02:48:00,1095.17
2017-07-04 02:49:00,1015.208
2017-07-04 02:50:00,920.6238
2017-07-04 02:51:00,814.7021
2017-07-04 02:52:00,793.7811
2017-07-04 02:53:00,850.6326
2017-07-04 02:54:00,1159.495
2017-07-04 02:55:00,1168.938
2017-07-04 02:56:00,1106.192
2017-07-04 02:57:00,907.0976
2017-07-04 02:58:00,995.1669
2017-07-04 02:59:00,1162.725
2017-07-04 03:00:00,1021.752
2017-07-04 03:01:00,752.8662
2017-07-04 03:02:00,1294.091
2017-07-04 03:03:00,1059.614
2017-07-04 03:04:00,1007.929
2017-07-04 03:05:00,694.6698
2017-07-04 03:06:00,982.6262
2017-07-04 03:07:00,1098.632
2017-07-04 03:08:00,885.49
2017-07-04 03:09:00,852.0942
2017-07-04 03:10:00,802.6752
2017-07-04 03:11:00,905.634
2017-07-04 03:12:00,989.8049
2017-07-04 03:13:00,708.0879
2017-07-04 03:14:00,893.0191
2017-07-04 03:15:00,793.8895
2017-07-04 03:16:00,846.8602
2017-07-04 03:17:00,822.7514
2017-07-04 03:18:00,858.7037
2017-07-04 03:19:00,899.6846
2017-07-04 03:20:00,852.0827
2017-07-04 03:21:00,811.1003
2017-07-04 03:22:00,1052.615
2017-07-04 03:23:00,1033.4
2017-07-04 03:24:00,912.6498
2017-07-04 03:25:00,968.588
2017-07-04 03:26:00,957.1527
2017-07-04 03:27:00,1075.073
2017-07-04 03:28:00,631.7744
2017-07-04 03:29:00,491.4535
2017-07-04 03:30:00,844.7839
2017-07-04 03:31:00,1055.523
2017-07-04 03:32:00,839.7551
2017-07-04 03:33:00,1122.042
2017-07-04 03:34:00,1214.082
2017-07-04 03:35:00,777.9302
2017-07-04 03:36:00,1031.144
2017-07-04 03:37:00,955.0627
2017-07-04 03:38:00,676.2522
2017-07-04 03:39:00,661.7174
2017-07-04 03:40:00,750.8497
2017-07-04 03:41:00,762.9056
2017-07-04 03:42:00,785.1002
2017-07-04 03:43:00,792.168
2017-07-04 03:44:00,852.0112
2017-07-04 03:45:00,917.1105
2017-07-04 03:46:00,788.3439
2017-07-04 03:47:00,869.2542
