Fechas,Presión
2017/5/13 10:50:00,954.1723
2017/5/13 11:00:00,954.2469
2017/5/13 11:10:00,954.2184
2017/5/13 11:20:00,954.1412
2017/5/13 11:30:00,954.175
2017/5/13 11:40:00,954.1656
2017/5/13 11:50:00,954.1628
2017/5/13 12:00:00,954.1249
2017/5/13 12:10:00,954.0015
2017/5/13 12:20:00,953.9215
2017/5/13 12:30:00,953.9364
2017/5/13 12:40:00,953.9364
2017/5/13 12:50:00,953.9703
2017/5/13 13:00:00,953.9581
2017/5/13 13:10:00,953.8835
2017/5/13 13:20:00,953.8943
2017/5/13 13:30:00,953.8618
2017/5/13 13:40:00,953.8577
2017/5/13 13:50:00,953.752
2017/5/13 14:00:00,953.6951
2017/5/13 14:10:00,953.5283
2017/5/13 14:20:00,953.4619
2017/5/13 14:30:00,953.3886
2017/5/13 14:40:00,953.2299
2017/5/13 14:50:00,953.1215
2017/5/13 15:00:00,953.1744
2017/5/13 15:10:00,953.131
2017/5/13 15:20:00,953.0713
2017/5/13 15:30:00,952.9968
2017/5/13 15:40:00,952.8937
2017/5/13 15:50:00,952.872
2017/5/13 16:00:00,952.7866
2017/5/13 16:10:00,952.7459
2017/5/13 16:20:00,952.6822
2017/5/13 16:30:00,952.6224
2017/5/13 16:40:00,952.5357
2017/5/13 16:50:00,952.5181
2017/5/13 17:00:00,952.5194
2017/5/13 17:10:00,952.5411
2017/5/13 17:20:00,952.5547
2017/5/13 17:30:00,952.6266
2017/5/13 17:40:00,952.7092
2017/5/13 17:50:00,952.9724
2017/5/13 18:00:00,953.135
2017/5/13 18:10:00,953.2015
2017/5/13 18:20:00,953.3954
2017/5/13 18:30:00,953.4849
2017/5/13 18:40:00,953.569
2017/5/13 18:50:00,953.798
2017/5/13 19:00:00,954.0367
2017/5/13 19:10:00,954.1425
2017/5/13 19:20:00,954.2849
2017/5/13 19:30:00,954.3215
2017/5/13 19:40:00,954.2415
2017/5/13 19:50:00,954.2659
2017/5/13 20:00:00,954.2117
2017/5/13 20:10:00,954.0909
2017/5/13 20:20:00,954.1086
