Record;Global;Difusa;Directa;
117500;989.2862;101.4637;874.102;
117501;986.4006;101.8184;871.7629;
117502;987.7354;101.2593;871.9756;
117503;986.4532;101.5145;871.7629;
117504;984.4896;102.8514;868.4316;
117505;983.6035;103.4616;866.5888;
117506;984.5858;103.7169;869.1403;
117507;985.3038;104.1411;871.6209;
117508;987.4555;104.5302;871.7627;
117509;994.2986;104.9545;879.5589;
117510;993.0758;105.2924;877.7868;
117511;988.1756;105.6532;871.7624;
117512;984.8836;106.7284;867.1556;
117513;983.774;108.787;862.9031;
117514;976.149;110.4322;853.7604;
117515;966.973;110.3798;846.3185;
117516;965.4061;110.3611;845.44;
117517;958.8682;110.867;837.9995;
117518;955.9655;110.9479;837.7321;
117519;955.8385;111.0351;837.663;
117520;953.5206;112.1749;832.7136;
117521;960.4976;111.535;841.9926;
117522;955.8442;111.6972;837.7175;
117523;955.5292;112.046;837.7897;
117524;960.267;112.8598;841.9749;
117525;956.5379;113.2956;837.7147;
117526;954.0145;113.9811;835.9271;
117527;949.7787;114.2774;830.5443;
117528;951.9793;114.0851;835.4397;
117529;950.1618;114.8642;831.1906;
117530;951.6495;115.7654;833.3915;
117531;959.8362;113.1028;846.7188;
117532;960.3562;112.5452;848.0682;
117533;958.8724;110.9284;850.0554;
117534;955.8733;109.364;850.0571;
117535;951.9888;109.0901;846.9223;
117536;953.5356;107.8977;851.45;
117537;956.1887;106.479;856.2547;
117538;958.58;105.1066;861.7773;
117539;960.7188;103.3491;868.9932;
117540;958.7059;103.8373;865.8009;
117541;963.8686;101.5506;875.1444;
117542;968.955;99.34645;884.7806;
117543;971.3314;98.14846;889.3772;
